# {"t_start": 1608789182.3069544} 
r,l,t
18.212889,800,2577.533552
21.040802,544,2580.215694
25.762281,800,2585.250072
8.69997,158,2591.646335
25.299067,800,2592.596209
6.1399846,136,2593.201399
12.1065855,270,2594.735647
7.9063025,163,2600.658676
29.616314,800,2613.044066
20.613194,800,2661.440862
24.537916,800,2662.82231
20.15963,584,2663.962734
16.55553,491,2676.671782
18.314064,800,2683.073952
26.720493,800,2683.678323
25.878708,800,2685.000318
7.2454705,237,2685.953719
26.002066,800,2691.87281
4.907372,93,2693.236271
14.412394,359,2696.605112
10.057137,197,2702.880442
16.781599,382,2716.847121
13.022168,256,2717.795077
20.027891,423,2729.135871
34.581604,800,2754.081327
23.99657,800,2768.26897
20.887873,800,2776.418179
25.672987,746,2778.045054
17.242138,480,2781.758228
7.9856005,160,2783.92301
27.550156,800,2794.404437
8.068785,245,2800.104967
22.841368,754,2805.830914
26.524164,800,2821.073964
24.045675,800,2846.332958
14.753032,307,2853.617522
32.678326,800,2868.351439
14.671294,322,2870.728598
26.994839,800,2873.59345
24.15552,800,2875.803957
19.734154,419,2883.885784
37.060963,800,2886.689199
25.836416,800,2892.412569
15.518481,436,2893.351238
13.215998,294,2900.061531
14.93291,468,2944.277557
41.159348,800,2958.450042
38.107132,800,2960.875702
10.4194145,196,2961.917389
27.883986,800,2966.02624
29.572512,623,2967.883616
19.622183,800,2976.983516
27.266756,800,2982.877185
16.401524,297,2988.542684
22.581541,800,2990.629875
17.514017,376,2993.507581
8.762055,223,3001.912817
20.153809,404,3003.078657
32.13458,800,3050.720818
16.370834,361,3053.684159
30.658627,800,3055.961425
27.453213,800,3066.448528
5.197909,141,3068.588361
40.13546,800,3078.143354
34.124332,800,3080.263671
25.463428,800,3083.852218
18.795874,353,3083.852259
5.5523653,150,3092.35468
25.426752,800,3093.289288
9.196723,197,3121.486192
10.993668,208,3138.942944
24.145475,613,3143.084763
24.964169,800,3145.828503
23.801992,503,3156.543272
26.495691,800,3158.141957
23.60222,800,3171.475333
34.207836,800,3174.451715
